content,query,date,hashtag
"Like many respnses of American friends, yes you care for Israel and its peace with its neighbors more than you do for americans! Remember that both &amp; both murdered by fantic Islamists &amp; fanatic zionists for signing peace treaty!",Zionist,2020-09-13 23:15:13+00:00,['isaakrabin']
Trumpians in bankrupt Trumpistan inflating his ego before he meets the Law and Justice takes its toll. Better Nivada be Trumpistan and all the Trumpians get shipped there like the zionist jews got shipped to Palestine. He fits best in a Brothel House not the WH.,Zionist,2020-09-13 23:15:12+00:00,[]
"agreed, but you surely know that American orthodox Jews do this all the time + Israel acts in the name of diaspora communities. If you are a Zionist then you have to be political (because the history of Z. has always been political)",Zionist,2020-09-13 23:14:46+00:00,[]
"Sorry, you will have to come up with a lot more to justify $38billion from our taxes than fighting fires and sending humanitarian aid. If NATO has to pay their own bill so should Israel. Begs the question if they need aid, how can they afford to send humanitarian aid to others!",Zionist,2020-09-13 23:14:09+00:00,[]
Trump is a zionist shabbos goy who believes in toilets made of gold. He is an enemy of God.,Zionist,2020-06-18 23:59:18+00:00,[]
is this some kind of weird zionist flex?,Zionist,2020-06-18 23:58:36+00:00,[]
Cole Sprouse doesn’t belong here but the Zionist and that dying Victorian child who spread chlamydia do,Zionist,2020-06-18 23:58:01+00:00,[]
There is 100% a double standard but not at all in the way Zionists think. Palestinians would never in a million years have gotten away with annexing Jerusalem all to themselves. There comes a point where Zionists need to log out and just see what’s going on around them.,Zionist,2020-06-18 23:57:59+00:00,[]
Thx for calling out antiSemitism . Plz go further and criticize Bibi Netanyahu for causing more anti Semitism through his terrorism. And all the hate that anti-Zionist Jews endure. Condemn it. Call out Zionism for aiding and abetting anti Semitism.,Zionist,2020-06-18 23:57:43+00:00,"['cpcldr', 'cdnpoli']"
as an american jew i don’t think i have any more authority to debate israel’s existence than any other american (except evangelical zionists who are wackadoos that love israel because they think all the jews should go there and get obliterated in the end times),Zionist,2020-06-18 23:52:55+00:00,[]
Not to mention the fact that Zionist Israel murders Palestinians every damn day.,Zionist,2020-06-18 23:50:09+00:00,[]
Mccarthy carried water for zionists don’t let his anti-communist actions fool you.,Zionist,2020-06-18 23:49:48+00:00,[]
"Being a Zionist simply means believing in the right of Jewish people to a homeland. If you believe Israel has a right to exist, including through a two state solution, you're a Zionist.",Zionist,2020-06-18 23:49:47+00:00,[]
Ed deserves to be listened to: he junked Blue Labour’s promise of reaching the working class; destroyed his electable brother; took McCluskey’s shllling; denied he was a Zionist; introduced the £3 membership; left the Syrian people to a terrible fate and campaigned for me,Zionist,2020-06-18 23:49:19+00:00,['Legend']
On what Zionist fan fiction website did you write this story. I mean your hairline is is still back before COVID happened,Zionist,2020-06-18 23:47:50+00:00,[]
"This is how the history in occupied Palestine is being fabricated by the power of zionist terrorism. Zionism=Nazism, Zionism=terrorism",Zionist,2020-06-18 23:45:53+00:00,['Palestine']
US stealing Syrian resources on behalf of Zionist banking cabal via,Zionist,2020-06-18 23:44:16+00:00,['Banking']
"Check the replies....... Jews, Zionists and Israel feature highly.",Zionist,2020-06-18 23:44:15+00:00,[]
"A German celebrity chef has upped his output of anti-Semitic social media posts, including one suggesting that Chancellor Angela Merkel was appointed by “Zionists,” according to a German fact-checking blog.",Zionist,2020-06-18 23:44:00+00:00,[]
"I would think most progressive Zionists agree that there are, or else they wouldn't notice any tension between their American progressive values and Zionism. The point I was trying to make is that we should not be reflexively opposed to activists making parallels.",Zionist,2020-06-18 23:42:23+00:00,[]
"Fuck anyone stupid enough to lap Bolton's shit up. And fuck Trump. Bolton's ""book"" nothing more than more Zionist warmongering shit he's done his whole life, this time to try and drum up support for war with Russia from the left",Zionist,2020-06-18 23:41:58+00:00,[]
once you try to attack looks your argument and validity goes straight down the drain. but sinze you’re both zionists i think that alr did it for you,Zionist,2020-06-18 23:38:27+00:00,[]
but where was your statement condemning Jack Denton after he called trans people evil and belittled the black lives matter movement? also let’s all realize that being anti-zionist is NOT being anti-semitic.,Zionist,2020-06-18 23:38:11+00:00,[]
's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.,Zionist,2020-06-18 23:37:43+00:00,[]
"Zionist Black and Brown Jews are telling the rest of the tribe what we are experiencing as a result of our black and brown hue, aside from what we experience as Jews, and as Zionists. Stop gaslighting us using a BLM platform that has nothing to do with us or our cries",Zionist,2020-06-18 23:35:55+00:00,[]
"Palestine is for all of us, and when we say ""all"" we mean every inch of historic Palestine, 26,323 days (equivalent to 72 years, one month, and 3 days) have passed since the Zionist occupation of Palestine. Liberation storm is coming",Zionist,2020-06-18 23:32:11+00:00,[]
garbage,Zionist,2020-06-18 23:28:29+00:00,"['yiddish', 'zionist']"
"Haven't read it. I have, however, listened to Irving, which has a letter, by Brüning to Churchill (I believe), stating that Jewish bankers funded Hitler's rise to power. Irving states that's not proof, just evidence. Hitler did work w/Zionist Jews...",Zionist,2020-06-18 23:26:04+00:00,[]
"Trump is a hardcore Zionist. His own daughter converted to Judaism, his top campaign donors are Jewish. He's prayed at the wailing wall, he bends over backwards to satisfy Israel..don't get me wrong, he's a bad president, but comparing him to Hitler makes no sense.",Zionist,2020-06-18 23:26:01+00:00,[]
"I won't act like im some gold star antiZionist--in hindsight all of the synagogues and schools I participated in were Zionist. I know that some implicit bias had to have been absorbed, and subsequently unlearned. But I can't remember ever *consciously* giving a fuck about Israel",Zionist,2020-06-18 23:25:04+00:00,[]
"Ahmad’s statements are clearly and rightfully anti-zionist, he was simply critiquing the illegitimate israeli government",Zionist,2020-06-18 23:24:32+00:00,[]
"Enough is more than enough for the African Americans,for the people of Palestine mired in murder &amp; torture at zionist hands for 72 agonising years, while other people around the world suffer too.I work &amp; pray4 an end to this pain but I'll NEVER agree that anyone should be raped",Zionist,2020-06-18 23:23:02+00:00,[]
"This ‘antifa’ group was also Zionist, pro-Palestinian and Yiddish-speaking — and it’s trending",Zionist,2020-06-18 23:22:25+00:00,[]
the Labor Zionist auto damage insurance appraiser’s Manifesto,Zionist,2020-06-18 23:22:17+00:00,[]
No muslim can stand zionists. If ur gonna write a happy muslim character catering to American colonization atleast don’t put israel right there. It feels performative when you have a character of color but they have from their culture is the way they look.,Zionist,2020-06-18 23:21:48+00:00,[]
"nope! I wasn't always actively anti-Zionist, so it was still a long journey of educating myself about the Palestinian struggle, but growing up, Israel wasn't really a thing in my immediate family. As I've become more active I've definitely encountered it in my broader fam tho",Zionist,2020-06-18 23:21:42+00:00,[]
"They tended to support binationalism for longer than most Zionists too. But when push came to shove post-48 their parties and organizations came to toe Ben Gurion's line more or less, so ¯\_(ツ)_/¯",Zionist,2020-06-18 23:19:43+00:00,[]
"Pass another bill instead of enforce the law because The Zionist Jewish Lobby loyalists like Chuck want to create tension , divide and unrest in their efforts to destabilize the United States as they always do cause it serves the Lobby like most of them do in Our government !",Zionist,2020-06-18 23:19:02+00:00,[]
Feinman ? Another Zionist Dershowwitz buddy. No surprises here.,Zionist,2020-06-18 23:19:02+00:00,[]
550 BILLION $$$ MORE THAN HALF A TRILLION $$ MADE BY HANDFUL BILLIONARES IN THE SPACE OF 11 WEEKS U DONT NEED TO PUT RUSSIAN VODKA IN UR EYES ITS CALLED GLOBALISTS GAME BILL GATES MANY MANY HEADS OF STATES R ASSETS OF ZIONISTS OF ISREAL THEY WILL STAGE WW3,Zionist,2020-06-18 23:18:05+00:00,[]
"Today in absolutely bizarre strawmen: ""Those Anti-Zionist Arabs Who Ignore Saudi Arabia""",Zionist,2020-06-18 23:15:42+00:00,[]
The zionists might not be too pleased with his latest stunt that got FB to pull out the Nazi symbols unless it was another pre- meditated stunt,Zionist,2020-06-18 23:15:23+00:00,[]
"You see the pictures, don't you? Please keep your propaganda to yourself!",Zionist,2020-06-18 23:14:47+00:00,['zionist']
Anti-racist but still anti-semitic. Oh wait sorry Anti-Zionist even though he very publicly 'campaigned for the release of two convicted terrorists who who set off a bomb at a London building HOUSING JEWISH CHARITIES and at the IL embassy.',Zionist,2020-06-18 23:14:30+00:00,[]
Zionists do not represent my interests.,Zionist,2020-06-18 23:14:28+00:00,[]
